Accounts,On/Off,Wine,Date,Address,Lat,Lon
Norm's Beer & Wine,off,Foothills,3/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Screwtop,on/off,Rosé,3/21,"1025 Fillmore St. N, Arlington, VA 22201",38.8859072,-77.0926894
Whole Foods - Old Town,on/off,Foothills,3/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - South Capitol Hill,on/off,Rosé,3/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Wine Warehouse,off,Foothills,3/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Wine Warehouse,off,Rosé,3/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Wine Warehouse,off,Young Wine,3/21,"1804 Hydraulic Rd, Charlottesville, VA 22902",38.0607943,-78.4914214
Radicle Wine,Off,Young Wine,3/21,"293 Greene Ave, Brooklyn, NY 11238",40.6874915,-73.9601204
Glen's Garden Market,on/off,Rosé,3/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Atlas Wine Merchants,on/off,Young Wine,3/21,"1069 Bedford Avenue, Brooklyn, NY 11216",40.6874318,-73.954402
Atlas Wine Merchants,on/off,Young Wine,3/21,"1069 Bedford Avenue, Brooklyn, NY 11216",40.6874318,-73.954402
Whole Foods - Arlington,on/off,Rosé,3/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Bottleworks,Off,Foothills,3/21,"3078 Stony Point Rd., Richmond, VA 23235",37.537796,-77.5651916
Bottleworks,Off,Chardonnay,3/21,"3078 Stony Point Rd., Richmond, VA 23235",37.537796,-77.5651916
Broken Tulip,On,Rosé,3/21,"3129 W. Cary Street, Richmond, VA 23221",37.5532674,-77.481503
Commune - Norfolk,on,Chardonnay,3/21,"759 Granby St., Norfolk, VA 23510",36.8562717,-76.2885787
Commune - Norfolk,on,Foothills,3/21,"759 Granby St., Norfolk, VA 23510",36.8562717,-76.2885787
Ellwood Thompson,off,Rosé,3/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Young Wine,3/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Young Wine,3/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Foothills,3/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Fat Canary,on,Rosé,3/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Foothills,3/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Fat Canary,on,Five Forks,3/21,"410 W Duke of Gloucester St., Williamsburg, VA 23185",37.2705483,-76.7060983
Friendly City Food Co-op,off,Young Wine,3/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Rosé,3/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Young Wine,3/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Foothills,3/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Market Street Wine Shop,off,Eluvium,3/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mermaid Winery - Virginia Beach,on,Rosé,3/21,"4401 Shore Drive, Virginia Beach, VA 23455",36.9044651,-76.1230478
Olivino,off,Chardonnay,3/21,"905 Fulton Street, Brooklyn, NY 10013",40.6837237,-73.9671635
Olivino,off,Young Wine,3/21,"905 Fulton Street, Brooklyn, NY 10013",40.6837237,-73.9671635
Olivino,off,Foothills,3/21,"905 Fulton Street, Brooklyn, NY 10013",40.6837237,-73.9671635
Vinyl Wine,Off,Young Wine,3/21,"1491 Lexington Ave, New York, NY 10029",40.7860461,-73.9506085
Whole Foods - Newport News,on/off,Rosé,3/21,"12080 Jefferson Ave, Newport News, VA 23606",37.1028877,-76.4907572
Whole Foods - Short Pump,on/off,Rosé,3/21,"11173 West Broad St., Richmond, VA 23060",37.6475665,-77.5997292
"Wool Factory, The",on/off,Foothills,3/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Dabney,on,Shenandoah Valley Cabernet Franc,4/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
