Accounts,On/Off,Wine,Date,Address,Lat,Lon
Thornton River Grille,on,Petit Manseng,07/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Atlas Wine Merchants,on/off,Rosé,07/21,"1069 Bedford Avenue, Brooklyn, NY 11216",40.6874318,-73.954402
White Moose Inn,on,Foothills,07/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
White Moose Inn,on,Eluvium,07/21,"291 Main St., Washington, VA 22747",38.7123391,-78.16034
Corks & Kegs,off,Eluvium,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Corks & Kegs,off,Young Wine,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Corks & Kegs,off,Young Wine,07/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Ellwood Thompson,off,Chardonnay,07/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Greenwood,off,Five Forks,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Greenwood,off,Petit Manseng,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Greenwood,off,Chardonnay,07/21,"6701 Rockfish Gap TPK, Crozet, VA 22932",38.0413202,-78.732343
Ivy Roadhouse,on,Rosé,07/21,"4300 Three Notched Road, Charlottesville, VA 22901",38.062296,-78.6484858
Lafayette Inn,on/off,Chardonnay,07/21,"146 Main St, Stanardsville, VA 22973",38.2973151,-78.4385435
Lafayette Inn,on/off,Eluvium,07/21,"146 Main St, Stanardsville, VA 22973",38.2973151,-78.4385435
Montgomery Co. Dept. of Liquor Control,on,Rosé,07/21,"Division of Financial, Gaithersburg, MD 20878",39.139876,-77.1926495
Shagbark,on,Rosé,07/21,"4901 Libbie Mill E Blvd. Ste 175, Richmond, VA 23230",37.5906296,-77.4937676
Whole Foods - Fair Lakes,on/off,Foothills,07/21,"4501 Market Commons Drive, Fairfax, VA 22033",38.8578497,-77.377751
Whole Foods - Florida Ave,on/off,Rosé,07/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
All Purpose Pizzeria - Shaw,on,Foothills,06/21,"1250 9th St. NW, Washington, DC 20001",38.9069218,-77.0242281
Dominion Wine and Beer,on/off,Rosé,06/21,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Founding Farmers - Reston,on,Rosé,06/21,"1904 Reston Metro Plaza, Suite 100, Reston, VA 20190",38.9488917,-77.3383807
NRG - Red Apron Mosaic,off,Young Wine,06/21,"8298 Glass Alley Ste 110, Fairfax, VA 22031",38.8735482,-77.2308105
Tastings of Charlottesville,on/off,Shenandoah Valley Cabernet Franc,06/21,"502 East Market St, Charlottesville, VA 22902",38.0303427,-78.4779714
Whole Foods - Arlington,on/off,Young Wine,06/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Whole Foods - Ashburn,on/off,Young Wine,06/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - Ashburn,on/off,Rosé,06/21,"19800 Belmont Chase Dr, Ashburn, VA 20147",39.0686101,-77.4843579
Whole Foods - Boro Tysons,on/off,Young Wine,06/21,"1635 Boro Place, McLean, VA 22102",38.9245013,-77.233061
Whole Foods - Fair Lakes,on/off,Young Wine,06/21,"4501 Market Commons Drive, Fairfax, VA 22033",38.8578497,-77.377751
Whole Foods - Florida Ave,on/off,Young Wine,06/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Whole Foods - Foggy Bottom,on/off,Young Wine,06/21,"2201 I Street NW, Washington, DC 20037",38.9010776,-77.0490824
Whole Foods - Old Town,on/off,Young Wine,06/21,"1700 Duke Street, Alexandria, VA 22314",38.8041416,-77.0600615
Whole Foods - P Street,on/off,Young Wine,06/21,"1440 P Street NW, Washington, DC 20005",38.9092854,-77.0335078
Whole Foods - Pentagon City,on/off,Young Wine,06/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8628102,-77.0545096
Whole Foods - Reston,on/off,Young Wine,06/21,"11660 Plaza America Drive, Reston, VA 20190",38.9517757,-77.3494016
Whole Foods - Springfield,on/off,Young Wine,06/21,"8402 Old Keene Mill Road, Springfield, VA 22152",38.7800288,-77.2349557
Whole Foods - Tenley,on/off,Young Wine,06/21,"4530 40th Street NW, Washington, DC 20016",38.9490789,-77.0792007
Whole Foods - Tenley,on/off,Five Forks,06/21,"4530 40th Street NW, Washington, DC 20016",38.9490789,-77.0792007
Whole Foods - Tysons,on/off,Young Wine,06/21,"7511 Leesburg Pike, Falls Church, VA 22043",38.9026076,-77.2050359
Whole Foods - Vienna,on/off,Young Wine,06/21,"143 Maple Ave East, Vienna, VA 22180",38.9022469,-77.2626957
A Pimento Catering,on,Young Wine,06/21,"1304-C E Market St., Charlottesville, VA 22902",38.0257736,-78.4671133
A Pimento Catering,on,Rosé,06/21,"1304-C E Market St., Charlottesville, VA 22902",38.0257736,-78.4671133
Amber Ox Kitchen & Brewery,on,Young Wine,06/21,"521 Prince George St., Williamsburg, VA 23185",37.272864,-76.708414
Astor Wines & Spirits,Off,Shenandoah Valley Cabernet Franc,06/21,"399 Lafayette St, New York, NY 10003",40.7279823,-73.9926938
Bloom,on,Shenandoah Valley Cabernet Franc,06/21,"1109 Main St. SW, Roanoke, VA 24015",37.264562,-79.958762
Ecco Adesso,on,Rosé,06/21,"340 Ecco Adesso Lane, Fairfield, VA 24435",37.8358967,-79.3078488
Ecco Adesso,on,Shenandoah Valley Cabernet Franc,06/21,"340 Ecco Adesso Lane, Fairfield, VA 24435",37.8358967,-79.3078488
Ellwood Thompson,off,Pétillant Naturel White,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Foothills,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Five Forks,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Fat Canary,on,Rosé,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Foothills,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fort Lewis Lodge,on,Foothills,06/21,"603 Old Plantation Way, Millboro, VA 24460",38.114054,-79.6110139
"Green Room, The",on,Young Wine,06/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
"Green Room, The",on,Rosé,06/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
"Green Room, The",on,Young Wine,06/21,"130 W Beverly St, Staunton, VA 24401",38.15216,-79.1136552
Jackson River Growers,on,Young Wine,06/21,"180 Oakley Farm Ln, Warm Springs, VA 24484",38.0425248,-79.7906726
Jackson River Growers,on,Rosé,06/21,"180 Oakley Farm Ln, Warm Springs, VA 24484",38.0425248,-79.7906726
Jackson River Growers,on,Young Wine,06/21,"180 Oakley Farm Ln, Warm Springs, VA 24484",38.0425248,-79.7906726
Market Street Wine Shop,off,Rosé,06/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Roanoke Natural Foods Co-op,off,Rosé,06/21,"1319 Grandin Rd SW, Roanoke, VA 24015",37.2652232,-79.9776246
Roanoke Natural Foods Co-op,off,Young Wine,06/21,"1319 Grandin Rd SW, Roanoke, VA 24015",37.2652232,-79.9776246
Roanoke Natural Foods Co-op,off,Foothills,06/21,"1319 Grandin Rd SW, Roanoke, VA 24015",37.2652232,-79.9776246
Second Bottle Wine,off,Rosé,06/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Second Bottle Wine,off,Five Forks,06/21,"324 N 27th St Apt. A, Richmond, VA 23223",37.5314274,-77.4164175
Washington Street Purveyors,off,Five Forks,06/21,"9 E Washington St, Lexington, VA 24450",37.7845823,-79.441534
Washington Street Purveyors,off,Foothills,06/21,"9 E Washington St, Lexington, VA 24450",37.7845823,-79.441534
Washington Street Purveyors,off,Young Wine,06/21,"9 E Washington St, Lexington, VA 24450",37.7845823,-79.441534
Whole Foods - Charlottesville,on/off,Rosé,06/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - West Broad,on/off,Rosé,06/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Whole Foods - West Broad,on/off,Five Forks,06/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Wool Factory,on/off,Foothills,06/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Zynodoa,on,Petit Manseng,06/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
Zynodoa,on,Rosé,06/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
Zynodoa,on,Shenandoah Valley Cabernet Franc,06/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
Zynodoa,on,Eluvium,06/21,"115 E Beverly St, Staunton, VA 24401",38.149814,-79.0709713
2941 Restaurant,On,Rosé,06/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Brut Wine Bar (Grape + Bean),On,Five Forks,06/21,"118 S Royal St #1, Alexandria, VA 22314",38.8039433,-77.0435496
Crystal City Wine Shop,off,Foothills,06/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Dabney,on,Shenandoah Valley Cabernet Franc,06/21,"122 Blagden Alley NW, Washington, DC 20009",38.9063446,-77.0245248
Dawson's Market Dupont Circle,on/off,Rosé,06/21,"2001 S St. NW, Washington, DC 20009",38.9143274,-77.0451575
Founding Farmers - Tyson's Corner,on,Rosé,06/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Mom's Apple Pie - Hill High,off,Five Forks,06/21,"35246 Harry Byrd Hwy Ste. 100, Round Hill, VA 20141",39.1277991,-77.7873132
Norm's Beer & Wine,off,Young Wine,06/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
Organic Butcher of McLean,off,Rosé,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Five Forks,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Young Wine,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Thornton River Grille,on,Rosé,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Eluvium,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Shenandoah Valley Cabernet Franc,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Vine Wine,off,Young Wine,06/21,"616 Lorimer St, Brooklyn, NY 11211",40.7153681,-73.9494145
Whole Ox,on/off,Young Wine,06/21,"8357 West Main Street, Marshall, VA 20115",38.8651661,-77.856671
Whole Ox,on/off,Rosé,06/21,"8357 West Main Street, Marshall, VA 20115",38.8651661,-77.856671
Alley Light,on,Shenandoah Valley Cabernet Franc,06/21,"108 2nd St. SW, Charlottesville, VA 22902",38.0305995,-78.482276
Barrel Thief,on/off,Young Wine,06/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Caboose,on/off,Rosé,06/21,"108 S. Railroad Ave., Ashland, VA 23005",37.758286,-77.4816338
Corks & Kegs,off,Rosé,06/21,"7110 Patterson Ave, Suite A, Richmond, VA 23229",37.5924087,-77.5329934
Department of Beer & Wine,off,Rosé,06/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Department of Beer & Wine,off,Young Wine,06/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Department of Beer & Wine,off,Young Wine,06/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Ellwood Thompson,off,Young Wine,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Foothills,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Leon and Son Wine,off,Rosé,06/21,"995 Fulton Street, Brooklyn, NY 11238",40.6828771,-73.9630419
Libbie Market,off,Rosé,06/21,"400 Libbie Ave., Richmond, VA 23226",37.5746309,-77.5183971
Mona Lisa,off,Young Wine,06/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Mona Lisa,off,Rosé,06/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
NRG - Planet Wine,off,Young Wine,06/21,"2000-2004 Mount Vernon Ave, Alexandria, VA 22301",38.8239816,-77.0585376
Primland Resort,on,Eluvium,06/21,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6617827,-80.4318697
Primland Resort,on,Foothills,06/21,"2000 Busted Rock Road, Meadows of Dan, VA 24120",36.6617827,-80.4318697
Unwined - Belle View,off,Rosé,06/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Whole Foods - Charlottesville,on/off,Young Wine,06/21,"1797 Hydraulic Road, Charlottesville, VA 22901",38.059773,-78.4891351
Whole Foods - Fair Lakes,on/off,Foothills,06/21,"4501 Market Commons Drive, Fairfax, VA 22033",38.8578497,-77.377751
Whole Foods - Florida Ave,on/off,Rosé,06/21,"967 Florida Ave NW, Washington, DC 20001",38.9196906,-77.0244673
Atlas Wine Merchants,on/off,Young Wine,06/21,"1069 Bedford Avenue, Brooklyn, NY 11216",40.6874318,-73.954402
Fahrenheit 132,on,Chardonnay,06/21,"328 William Street, Fredericksburg, VA 22401",38.3028665,-77.4612967
Farmers Fishers Bakers,On,Rosé,06/21,"3000 K Street NW, Washington, DC 20007",38.9025537,-77.0601033
Founding Farmers - Reston,on,Rosé,06/21,"1904 Reston Metro Plaza, Suite 100, Reston, VA 20190",38.9488917,-77.3383807
Founding Farmers - Tyson's Corner,on,Rosé,06/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Green Hill Kitchen,on,Chardonnay,06/21,"48 Front Street, Greenport, NY 11944",41.1024434,-72.3602946
Landini Brothers,on,Rosé,06/21,"Michael Rovezzi, Alexandria, VA 22314",38.8180192,-77.0407781
Locke Store,off,Chardonnay,06/21,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
Montgomery Co. Dept. of Liquor Control,on,Rosé,06/21,"Division of Financial, Gaithersburg, MD 20878",39.139876,-77.1926495
Montgomery Co. Dept. of Liquor Control,on,Rosé,06/21,"Division of Financial, Gaithersburg, MD 20878",39.139876,-77.1926495
Aberdeen Barn,on,Five Forks,06/21,"2018 Holiday Drive, Charlottesville, VA 22901",38.0587447,-78.4931749
Barrel Thief,on/off,Rosé,06/21,"5805 Patterson Ave, Richmond, VA 23226",37.5794435,-77.5149812
Fat Canary,on,Foothills,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Young Wine,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Friendly City Food Co-op,off,Rosé,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Pétillant Naturel White,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Foothills,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
J Emerson,off,Rosé,06/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Leek & Thistle,on,Petit Manseng,06/21,"2112 East Main St, Richmond, VA 23223",37.5310834,-77.4244417
Little Star,on,Early Mountain Vineyards Virginia A Little Merlot 30L Keg,06/21,"420 W Main St, Charlottesville, VA 22903",38.0306322,-78.4875591
Market Street Wine Shop,off,Young Wine,06/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Perch,on,Petit Manseng,06/21,"2918 W. Broad Street, Richmond, VA 23230",37.5640539,-77.4719183
Prosperity Kitchen & Pantry,on,Young Wine,06/21,"532 Virginia Beach Blvd Ste B, Virginia Beach, VA 23451",36.8444829,-75.9806406
Rio Hill Wine & Beer,off,Shenandoah Valley Cabernet Franc,06/21,"1908 Rio Hill Center, Charlottesville, VA 22901",38.0877905,-78.4749043
Taste - Oceanfront,on/off,Rosé,06/21,"3603 Pacific Avenue, Virginia Beach, VA 23451",36.8641917,-75.9803595
Taste - Town Center,on/off,Rosé,06/21,"4513 Commerce Street, Virgina Beach, VA 23462",36.8416391,-76.1345916
Terrapin,on,Shenandoah Valley Cabernet Franc,06/21,"3102 Holly Rd., Virginia Beach, VA 23451",36.8592382,-75.9830156
Westside Produce & Provisions,off,Five Forks,06/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Westside Produce & Provisions,off,Young Wine,06/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Westside Produce & Provisions,off,Young Wine,06/21,"5015 Colley Ave., Norfolk, VA 23508",36.8890972,-76.2954949
Whole Foods - Newport News,on/off,Young Wine,06/21,"12080 Jefferson Ave, Newport News, VA 23606",37.1017661,-76.4913026
Whole Foods - Virginia Beach,on/off,Young Wine,06/21,"1800 Laskin Road, Virginia Beach, VA 23454",36.8509319,-76.0281576
Whole Foods - West Broad,on/off,Foothills,06/21,"2024 W Broad Street, Richmond, VA 23220",37.5581958,-77.4612166
Wine Seller - Williamsburg,off,Five Forks,06/21,"4680 Monticello Ave Suite 15, Williamsburg, VA 23188",37.2719211,-76.7595155
Wool Factory,on/off,Foothills,06/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Arrowine,Off,Rosé,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Bourbon Steak - Four Seasons Hotel,On,Petit Manseng,06/21,"Bourbon Steak, Washington, DC 20007",38.904805,-77.0572847
Calico Restaurant,on,Rosé,06/21,"50 Blagden Alley NW, Washington, DC 20001",38.9062044,-77.0252084
Contento,on,Shenandoah Valley Cabernet Franc,06/21,"88 East 111th Street, New York, NY 10003",40.7961654,-73.9461082
Crystal City Wine Shop,off,Rosé,06/21,"220 20th St. South, Arlington, VA 22202",38.85597,-77.0500304
Department of Beer & Wine,off,Rosé,06/21,"2724 Richmond Hwy, Alexandria, VA 22301",38.8306444,-77.0511825
Field & Main,on/off,Rosé,06/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Founding Farmers - DC,on,Rosé,06/21,"1924 Pennsylvania Ave. NW, Washington, DC 20006",38.8999959,-77.0443929
La Fromagerie,on/off,Eluvium,06/21,"1222 King St, Alexandria, VA 22314",38.805648,-77.053429
Norm's Beer & Wine,off,Chardonnay,06/21,"136 Branch Rd SE, Vienna, VA 22180",38.9062317,-77.257151
"Salt Line, The",on,Petit Manseng,06/21,"79 Potomac Ave SE, Washington, DC 20003",38.8712174,-77.0068245
The Villa,on,Shenandoah Valley Cabernet Franc,06/21,"4060 Powder Mill Road, Beltsville, MD 20705",39.049727,-76.935432
The Villa,on,Five Forks,06/21,"4060 Powder Mill Road, Beltsville, MD 20705",39.049727,-76.935432
The Villa,on,Rosé,06/21,"4060 Powder Mill Road, Beltsville, MD 20705",39.049727,-76.935432
Unwined - Belle View,off,Shenandoah Valley Cabernet Franc,06/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Whole Foods - Arlington,on/off,Rosé,06/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Arrowine,Off,Rosé,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Beer Run,Off,Petit Manseng,06/21,"156 Carlton Rd Ste 203, Charlottesville, VA 22902",38.0245628,-78.4684906
Beer Run,Off,Rosé,06/21,"156 Carlton Rd Ste 203, Charlottesville, VA 22902",38.0245628,-78.4684906
Beer Run,Off,Young Wine,06/21,"156 Carlton Rd Ste 203, Charlottesville, VA 22902",38.0245628,-78.4684906
Beer Run,Off,Shenandoah Valley Cabernet Franc,06/21,"156 Carlton Rd Ste 203, Charlottesville, VA 22902",38.0245628,-78.4684906
Dominion Wine and Beer,on/off,Five Forks,06/21,"107 Rowell Ct., Falls Church, VA 22046",38.8897048,-77.183834
Foods of All Nations,off,Foothills,06/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Foods of All Nations,off,Petit Manseng,06/21,"2121 Ivy Rd, Charlottesville, VA 22903",38.0432978,-78.5119067
Market Street Wine Shop,off,Petit Manseng,06/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Mona Lisa,off,Rosé,06/21,"921 Preston Ave, Charlottesville, VA 22903",38.038434,-78.489901
Unwined - King St,off,Rosé,06/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286279,-77.091689
Whole Foods - Pentagon City,on/off,Rosé,06/21,"520 12th St S Ste 100, Arlington, VA 22202",38.8628102,-77.0545096
Whole Foods - South Capitol Hill,on/off,Rosé,06/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Whole Foods - South Capitol Hill,on/off,Five Forks,06/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Whole Foods - South Capitol Hill,on/off,Foothills,06/21,"101 H St. SE, Washington, DC 20003",38.8802709,-77.0048851
Founding Farmers - Tyson's Corner,on,Rosé,06/21,"1800 Tyson's Blvd., McLean, VA 22102",38.9223637,-77.2224625
Reveler's Hour,on,Petit Manseng,06/21,"1775 Columbia Road NW, Washington, DC 20009",38.9235097,-77.0420765
Unwined - Belle View,off,Rosé,06/21,"1600 Belle View Blvd., Alexandria, VA 22307",38.7761672,-77.0597746
Unwined - King St,off,Rosé,06/21,"Bradlee Shopping Center, Alexandria, VA 22302",38.8286279,-77.091689
Whole Foods - Arlington,on/off,Rosé,06/21,"2700 Wilson Blvd., Arlington, VA 22201",38.8891237,-77.0909738
Blacksburg Wine Lab,on,Pétillant Naturel White,06/21,"223 Gilbert Street, Blacksburg, VA 24060",37.2331803,-80.4212379
Broken Tulip,On,Rosé,06/21,"3129 W. Cary Street, Richmond, VA 23221",37.5532674,-77.481503
Cochon d'Or,on,Eluvium,06/21,"2829 Main St, Hot Springs, VA 24445",37.9998484,-79.8317533
Ellwood Thompson,off,Shenandoah Valley Cabernet Franc,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Ellwood Thompson,off,Eluvium,06/21,"4 N Thompson St, Richmond, VA 23221",37.5587747,-77.4875763
Fat Canary,on,Foothills,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Rosé,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Fat Canary,on,Shenandoah Valley Cabernet Franc,06/21,"The Cheese Shop of VA, Inc., Williamsburg, VA 23185",37.2706994,-76.7061859
Feast,on/off,Rosé,06/21,"416 W Main St Suite H, Charlottesville, VA 22902",38.0304142,-78.4872613
Friendly City Food Co-op,off,Rosé,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Foothills,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Pétillant Naturel White,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
Friendly City Food Co-op,off,Young Wine,06/21,"150 E Wolfe St, Harrisonburg, VA 22802",38.4516609,-78.8665291
J Emerson,off,Foothills,06/21,"5716 Grove Ave, Richmond, VA 23226",37.5733362,-77.5180274
Jefferson Hotel,on,Five Forks,06/21,"101 W Franklin St, Richmond, VA 23220",37.5442364,-77.4454155
Local Chop & Grill House,on,Rosé,06/21,"56 W Gay St #107, Harrisonburg, VA 22802",38.4539237,-78.8684235
Market Street Wine Shop,off,Foothills,06/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Market Street Wine Shop,off,Rosé,06/21,"311 East Market St, Charlottesville, VA 22902",38.0310698,-78.4789677
Newtown Baking,on/off,Rosé,06/21,"960 W Beverlely Street, Staunton, VA 24400",38.1498989,-79.0827541
River and Rail,on,Rosé,06/21,"2201 Crystal Spring Ave. SW, Roanoke, VA 24014",37.2487077,-79.9468159
River and Rail,on,Chardonnay,06/21,"2201 Crystal Spring Ave. SW, Roanoke, VA 24014",37.2487077,-79.9468159
Wine Guild,off,Five Forks,06/21,"221 Carlton Rd, Suite 1, Charlottesville, VA 22902",38.0239329,-78.4698251
Wool Factory,on/off,Foothills,06/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
Wool Factory,on/off,Rosé,06/21,"1837 Broadway Street, Charlottesville, VA 22902",38.0195964,-78.4553634
2941 Restaurant,On,Rosé,06/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
2941 Restaurant,On,Petit Manseng,06/21,"2941 Fairview Park Dr, Falls Church, VA 22042",38.8689164,-77.2148275
Arrowine,Off,Rosé,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Chardonnay,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Shenandoah Valley Cabernet Franc,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Arrowine,Off,Eluvium,06/21,"4508 Lee Hwy, Arlington, VA 22207",38.8983733,-77.1183586
Ashby Inn,on,Rosé,06/21,"692 Federal St, Paris, VA 20130",39.0045423,-77.951727
Duplex Diner,on,Rosé,06/21,"2004 18th St, NW, Washington, DC 20009",38.9172194,-77.0418854
Element,on,Five Forks,06/21,"317 E Main St., Front Royal, VA 22630",38.9173746,-78.1900984
Element,on,Young Wine,06/21,"317 E Main St., Front Royal, VA 22630",38.9173746,-78.1900984
Field & Main,on/off,Rosé,06/21,"8369 W. Main St., Marshall, VA 20115",38.8647631,-77.8574303
Locke Store,off,Rosé,06/21,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
Locke Store,off,Pétillant Naturel White,06/21,"2049 Millwood Rd., Millwood, VA 22646",39.0695654,-78.0379321
Organic Butcher of McLean,off,Foothills,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Five Forks,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Organic Butcher of McLean,off,Rosé,06/21,"6712 Old Dominion Drive, McLean, VA 22101",38.9335412,-77.1758584
Red Hen-DC,on,Petit Manseng,06/21,"1822 1st St. NW, Washington, DC 20001",38.9149738,-77.0124095
Riggs Hotel DC,on,Foothills,06/21,"900 F St NW, Washington, DC 20004",38.8971417,-77.0243762
"Shack, The",On,Shenandoah Valley Cabernet Franc,06/21,"105 S. Coalter St., Staunton, VA 24401",38.148151,-79.0681357
"Staunton Grocery, The",Off,Rosé,06/21,"103 S. Coalter Street, Staunton, VA 24401",38.1482775,-79.0681798
Thornton River Grille,on,Rosé,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Petit Manseng,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Chardonnay,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Thornton River Grille,on,Foothills,06/21,"Thornton River Grille, Sperryville, VA 22740",38.657256,-78.22669
Basic City Beer Co.,Off,Five Forks,06/21,"1010 E Main St, Waynesboro, VA 22980",38.0634845,-78.873384
